Source,Target,Type,Id,Label,timeset,Weight,partition
813,45984,Undirected,940,,,1,1
815,74277,Undirected,942,,,1,1
815,58389,Undirected,941,,,1,1
103200,815,Undirected,85583,,,1,1
103193,815,Undirected,85578,,,1,1
26517,815,Undirected,28852,,,1,1
827,107888,Undirected,950,,,1,1
107888,827,Undirected,87566,,,1,1
105142,827,Undirected,86379,,,1,1
833,100595,Undirected,953,,,1,1
833,75031,Undirected,952,,,1,1
833,50032,Undirected,951,,,1,1
66921,892,Undirected,63435,,,1,1
897,91291,Undirected,1020,,,1,2
897,91291,Undirected,1019,,,1,1
897,20786,Undirected,1018,,,1,2
897,20786,Undirected,1017,,,1,1
897,15872,Undirected,1016,,,1,2
897,15872,Undirected,1015,,,1,1
21916,897,Undirected,23859,,,1,1
903,22404,Undirected,1023,,,1,2
903,22404,Undirected,1022,,,1,1
910,85481,Undirected,1030,,,1,1
926,25662,Undirected,1037,,,1,1
1009,48393,Undirected,1087,,,1,1
1009,47433,Undirected,1086,,,1,1
1009,35795,Undirected,1085,,,1,1
1009,35788,Undirected,1084,,,1,1
1010,65203,Undirected,1089,,,1,1
1010,50954,Undirected,1088,,,1,1
40253,1010,Undirected,40378,,,1,2
1034,1599,Undirected,1101,,,1,2
1034,1599,Undirected,1100,,,1,1
1042,71491,Undirected,1105,,,1,1
1042,1043,Undirected,1104,,,1,1
1043,71491,Undirected,1106,,,1,1
1050,1052,Undirected,1113,,,1,1
1057,65066,Undirected,1116,,,1,1
1063,56592,Undirected,1120,,,1,1
1063,39270,Undirected,1119,,,1,1
56592,1063,Undirected,56033,,,1,1
7603,1066,Undirected,8754,,,1,2
1086,102523,Undirected,1134,,,1,2
1086,102523,Undirected,1133,,,1,1
1091,15552,Undirected,1137,,,1,2
1107,1220,Undirected,1145,,,1,2
1107,1220,Undirected,1144,,,1,1
1123,30798,Undirected,1152,,,1,1
1123,7344,Undirected,1151,,,1,1
1124,50495,Undirected,1153,,,1,1
1126,25693,Undirected,1158,,,1,1
1148,103467,Undirected,1183,,,1,2
1148,103467,Undirected,1182,,,1,1
1148,64269,Undirected,1181,,,1,2
1148,64269,Undirected,1180,,,1,1
1148,46580,Undirected,1179,,,1,2
1148,46580,Undirected,1178,,,1,1
1148,20895,Undirected,1177,,,1,2
1148,1156,Undirected,1176,,,1,2
1148,1153,Undirected,1175,,,1,2
1148,1153,Undirected,1174,,,1,1
1148,1149,Undirected,1173,,,1,1
1149,103467,Undirected,1187,,,1,1
1149,64269,Undirected,1186,,,1,1
1149,46580,Undirected,1185,,,1,1
1149,1153,Undirected,1184,,,1,1
62348,1149,Undirected,60268,,,1,1
35660,1149,Undirected,36037,,,1,1
1156,1149,Undirected,1198,,,1,1
1153,1149,Undirected,1189,,,1,1
1153,103467,Undirected,1197,,,1,2
1153,103467,Undirected,1196,,,1,1
1153,64269,Undirected,1195,,,1,2
1153,64269,Undirected,1194,,,1,1
1153,46580,Undirected,1193,,,1,2
1153,46580,Undirected,1192,,,1,1
1153,20895,Undirected,1191,,,1,2
1153,1156,Undirected,1190,,,1,2
62348,1153,Undirected,60269,,,1,1
35660,1153,Undirected,36038,,,1,1
1156,1153,Undirected,1199,,,1,1
1156,62348,Undirected,1205,,,1,1
1156,45841,Undirected,1204,,,1,1
1156,36156,Undirected,1203,,,1,1
1156,35660,Undirected,1202,,,1,1
1156,20895,Undirected,1201,,,1,2
1156,11160,Undirected,1200,,,1,1
103467,1156,Undirected,85751,,,1,2
64269,1156,Undirected,61730,,,1,2
46580,1156,Undirected,47170,,,1,2
11159,1156,Undirected,12264,,,1,1
1166,56613,Undirected,1211,,,1,1
1166,51004,Undirected,1210,,,1,1
1179,66853,Undirected,1221,,,1,1
1193,4776,Undirected,1240,,,1,1
1195,67279,Undirected,1241,,,1,1
1200,3087,Undirected,1250,,,1,1
3087,1200,Undirected,3314,,,1,1
1202,73115,Undirected,1252,,,1,1
1202,9810,Undirected,1251,,,1,1
1206,107001,Undirected,1257,,,1,1
1206,29826,Undirected,1256,,,1,1
1208,46085,Undirected,1258,,,1,1
1213,1211,Undirected,1262,,,1,2
1213,1211,Undirected,1261,,,1,1
1233,106576,Undirected,1280,,,1,1
1233,103786,Undirected,1279,,,1,1
1233,81900,Undirected,1278,,,1,1
1233,58097,Undirected,1277,,,1,1
1233,7987,Undirected,1276,,,1,1
1242,55988,Undirected,1290,,,1,1
1242,28705,Undirected,1289,,,1,1
1242,26179,Undirected,1288,,,1,1
1261,70249,Undirected,1307,,,1,2
1277,70952,Undirected,1311,,,1,1
1279,104882,Undirected,1312,,,1,1
94964,1282,Undirected,81037,,,1,2
1289,83884,Undirected,1347,,,1,1
1289,41878,Undirected,1346,,,1,1
1293,102455,Undirected,1352,,,1,1
1293,93596,Undirected,1351,,,1,1
1293,40125,Undirected,1350,,,1,1
1293,9356,Undirected,1349,,,1,1
104134,1293,Undirected,86005,,,1,1
51781,1293,Undirected,51945,,,1,1
1298,67524,Undirected,1359,,,1,1
1298,66014,Undirected,1358,,,1,1
1298,36466,Undirected,1357,,,1,1
1298,26988,Undirected,1356,,,1,1
1298,17936,Undirected,1355,,,1,1
1298,2754,Undirected,1354,,,1,1
1298,2023,Undirected,1353,,,1,1
1299,62118,Undirected,1363,,,1,2
1299,62118,Undirected,1362,,,1,1
1299,2815,Undirected,1361,,,1,2
1299,2815,Undirected,1360,,,1,1
1300,53886,Undirected,1364,,,1,1
1303,6408,Undirected,1367,,,1,1
1304,44118,Undirected,1369,,,1,1
107385,1304,Undirected,87332,,,1,1
90723,1304,Undirected,78554,,,1,2
90723,1304,Undirected,78553,,,1,1
49962,1304,Undirected,50169,,,1,1
1305,90730,Undirected,1373,,,1,1
1305,89755,Undirected,1372,,,1,1
1305,50057,Undirected,1371,,,1,1
42662,1305,Undirected,42947,,,1,1
1308,1309,Undirected,1377,,,1,2
1308,1309,Undirected,1376,,,1,1
1320,78791,Undirected,1397,,,1,1
1337,62709,Undirected,1411,,,1,1
1337,46397,Undirected,1410,,,1,1
1337,3061,Undirected,1409,,,1,1
1344,90534,Undirected,1415,,,1,1
1344,50663,Undirected,1414,,,1,1
1344,8485,Undirected,1413,,,1,1
4760,1354,Undirected,5378,,,1,2
1367,111926,Undirected,1430,,,1,1
1367,97996,Undirected,1429,,,1,1
1367,95813,Undirected,1428,,,1,1
1367,65592,Undirected,1427,,,1,1
1367,7058,Undirected,1426,,,1,1
44376,1367,Undirected,45313,,,1,1
1391,108361,Undirected,1450,,,1,1
1391,95976,Undirected,1449,,,1,1
1391,94596,Undirected,1448,,,1,1
1391,71398,Undirected,1446,,,1,1
