Id,Label,timeset,partition
1400,1400,,Vicenza
1401,1401,,Padova
1403,1403,,Padova
1408,1408,,Padova
1410,1410,,Padova
1415,1415,,Padova
1416,1416,,Padova
1418,1418,,Padova
1422,1422,,Padova
1423,1423,,Vicenza
1425,1425,,Vicenza
1426,1426,,Padova
1427,1427,,Padova
1433,1433,,Padova
1441,1441,,Vicenza
1444,1444,,Padova
1445,1445,,Vicenza
1454,1454,,Vicenza
1459,1459,,Padova
1460,1460,,Padova
1462,1462,,Vicenza
1463,1463,,Vicenza
1464,1464,,Padova
1465,1465,,Padova
1470,1470,,Vicenza
1474,1474,,Vicenza
1476,1476,,Padova
1482,1482,,Vicenza
1488,1488,,Vicenza
1492,1492,,Vicenza
1495,1495,,Padova
1497,1497,,Vicenza
1500,1500,,Padova
1503,1503,,Padova
1507,1507,,Padova
1511,1511,,Vicenza
1521,1521,,Padova
1522,1522,,Padova
1523,1523,,Vicenza
1525,1525,,Padova
1526,1526,,Vicenza
1530,1530,,Vicenza
1533,1533,,Padova
1534,1534,,Vicenza
1535,1535,,Padova
1537,1537,,Vicenza
1541,1541,,Vicenza
1556,1556,,Vicenza
1558,1558,,Padova
1566,1566,,Vicenza
1568,1568,,Padova
1571,1571,,Padova
1575,1575,,Vicenza
1579,1579,,Padova
1583,1583,,Padova
1585,1585,,Padova
1587,1587,,Padova
1588,1588,,Vicenza
1591,1591,,Vicenza
1599,1599,,Padova
1602,1602,,Padova
1603,1603,,Vicenza
1607,1607,,Padova
1608,1608,,Vicenza
1610,1610,,Vicenza
1613,1613,,Vicenza
1616,1616,,Vicenza
1618,1618,,Padova
1620,1620,,Padova
1621,1621,,Padova
1623,1623,,Padova
1625,1625,,Padova
1630,1630,,Vicenza
1631,1631,,Padova
1633,1633,,Vicenza
1639,1639,,Padova
1640,1640,,Padova
1643,1643,,Padova
1645,1645,,Padova
1648,1648,,Vicenza
1649,1649,,Vicenza
1650,1650,,Padova
1651,1651,,Padova
1652,1652,,Padova
1653,1653,,Padova
1654,1654,,Padova
1655,1655,,Padova
1656,1656,,Padova
1657,1657,,Vicenza
1658,1658,,Padova
1659,1659,,Padova
1660,1660,,Padova
1661,1661,,Padova
1664,1664,,Vicenza
1670,1670,,Padova
1677,1677,,Vicenza
1678,1678,,Padova
1682,1682,,Padova
1687,1687,,Vicenza
1694,1694,,Vicenza
1695,1695,,Padova
1696,1696,,Vicenza
1697,1697,,Vicenza
1701,1701,,Vicenza
1702,1702,,Vicenza
1704,1704,,Vicenza
1708,1708,,Padova
1712,1712,,Vicenza
1716,1716,,Padova
1726,1726,,Padova
1732,1732,,Vicenza
1735,1735,,Padova
1736,1736,,Vicenza
1743,1743,,Padova
1745,1745,,Padova
1747,1747,,Padova
1764,1764,,Vicenza
1771,1771,,Padova
1774,1774,,Padova
1778,1778,,Padova
1784,1784,,Vicenza
1785,1785,,Vicenza
1786,1786,,Padova
1787,1787,,Vicenza
1790,1790,,Padova
1792,1792,,Padova
1796,1796,,Padova
1801,1801,,Padova
1807,1807,,Vicenza
1814,1814,,Padova
1815,1815,,Padova
1819,1819,,Padova
1821,1821,,Padova
1822,1822,,Padova
1832,1832,,Padova
1834,1834,,Vicenza
1835,1835,,Vicenza
1838,1838,,Vicenza
1842,1842,,Padova
1846,1846,,Padova
1857,1857,,Padova
1861,1861,,Padova
1864,1864,,Vicenza
1868,1868,,Padova
1871,1871,,Padova
1874,1874,,Padova
1875,1875,,Padova
1876,1876,,Padova
1882,1882,,Padova
1885,1885,,Padova
1887,1887,,Padova
1903,1903,,Padova
1908,1908,,Vicenza
1913,1913,,Vicenza
1914,1914,,Padova
1918,1918,,Padova
1920,1920,,Vicenza
1923,1923,,Padova
1924,1924,,Vicenza
1930,1930,,Vicenza
1932,1932,,Padova
1938,1938,,Padova
1940,1940,,Padova
1942,1942,,Vicenza
1946,1946,,Padova
1949,1949,,Vicenza
1956,1956,,Padova
1962,1962,,Vicenza
1966,1966,,Vicenza
1967,1967,,Vicenza
1968,1968,,Padova
1971,1971,,Padova
1974,1974,,Padova
1977,1977,,Vicenza
1978,1978,,Vicenza
1979,1979,,Vicenza
1981,1981,,Padova
1982,1982,,Vicenza
1983,1983,,Vicenza
2003,2003,,Padova
2004,2004,,Padova
2008,2008,,Padova
2021,2021,,Vicenza
2023,2023,,Padova
2030,2030,,Vicenza
2031,2031,,Padova
2035,2035,,Padova
2036,2036,,Vicenza
2042,2042,,Vicenza
2046,2046,,Vicenza
2047,2047,,Padova
2052,2052,,Padova
2062,2062,,Vicenza
2063,2063,,Padova
2066,2066,,Vicenza
2067,2067,,Vicenza
2070,2070,,Padova
2073,2073,,Vicenza
2074,2074,,Padova
2081,2081,,Vicenza
2086,2086,,Padova
2096,2096,,Padova
2098,2098,,Padova
2100,2100,,Padova
2104,2104,,Vicenza
2105,2105,,Vicenza
2115,2115,,Padova
2116,2116,,Padova
2118,2118,,Padova
2120,2120,,Vicenza
2125,2125,,Padova
2126,2126,,Padova
2129,2129,,Vicenza
2134,2134,,Vicenza
2135,2135,,Padova
2136,2136,,Vicenza
2141,2141,,Padova
2144,2144,,Vicenza
2145,2145,,Vicenza
2152,2152,,Padova
2153,2153,,Padova
2157,2157,,Vicenza
2165,2165,,Padova
2166,2166,,Padova
2169,2169,,Vicenza
2178,2178,,Padova
2183,2183,,Vicenza
2184,2184,,Padova
2185,2185,,Vicenza
2186,2186,,Padova
2192,2192,,Vicenza
2196,2196,,Padova
2199,2199,,Padova
2202,2202,,Vicenza
2204,2204,,Padova
2209,2209,,Padova
2212,2212,,Padova
2216,2216,,Padova
2218,2218,,Vicenza
2222,2222,,Padova
2223,2223,,Padova
2224,2224,,Vicenza
2226,2226,,Vicenza
2227,2227,,Vicenza
2230,2230,,Padova
2233,2233,,Vicenza
2244,2244,,Padova
2249,2249,,Vicenza
2255,2255,,Vicenza
2257,2257,,Vicenza
2260,2260,,Padova
2262,2262,,Vicenza
2263,2263,,Padova
2266,2266,,Vicenza
2268,2268,,Padova
2282,2282,,Padova
2285,2285,,Vicenza
2286,2286,,Padova
2293,2293,,Padova
2303,2303,,Padova
2310,2310,,Padova
2313,2313,,Padova
2316,2316,,Vicenza
2317,2317,,Vicenza
2320,2320,,Vicenza
2321,2321,,Padova
2322,2322,,Padova
2324,2324,,Padova
2325,2325,,Vicenza
2328,2328,,Padova
2329,2329,,Vicenza
2334,2334,,Padova
2335,2335,,Vicenza
2349,2349,,Vicenza
2352,2352,,Vicenza
2354,2354,,Vicenza
2356,2356,,Vicenza
2389,2389,,Vicenza
2391,2391,,Padova
2394,2394,,Padova
2395,2395,,Padova
2399,2399,,Vicenza
2403,2403,,Padova
2406,2406,,Vicenza
2408,2408,,Vicenza
2410,2410,,Vicenza
2412,2412,,Padova
2418,2418,,Vicenza
2421,2421,,Padova
2423,2423,,Padova
2428,2428,,Padova
2429,2429,,Padova
2430,2430,,Padova
2432,2432,,Vicenza
2433,2433,,Padova
2440,2440,,Padova
2441,2441,,Padova
2444,2444,,Vicenza
2445,2445,,Padova
2452,2452,,Vicenza
2454,2454,,Padova
2479,2479,,Padova
2484,2484,,Padova
2513,2513,,Vicenza
2515,2515,,Vicenza
2542,2542,,Padova
2551,2551,,Padova
2555,2555,,Padova
2556,2556,,Padova
2584,2584,,Padova
2585,2585,,Vicenza
2587,2587,,Padova
2593,2593,,Padova
2595,2595,,Padova
2600,2600,,Padova
2603,2603,,Padova
2614,2614,,Padova
2615,2615,,Padova
2617,2617,,Padova
2623,2623,,Padova
2624,2624,,Padova
2629,2629,,Padova
2630,2630,,Padova
2631,2631,,Vicenza
2632,2632,,Padova
2633,2633,,Vicenza
2644,2644,,Padova
2645,2645,,Vicenza
2647,2647,,Vicenza
2649,2649,,Vicenza
2651,2651,,Padova
2652,2652,,Padova
2653,2653,,Padova
2654,2654,,Vicenza
2660,2660,,Padova
2669,2669,,Vicenza
2670,2670,,Padova
2672,2672,,Padova
2674,2674,,Padova
2675,2675,,Vicenza
2677,2677,,Vicenza
2679,2679,,Vicenza
2681,2681,,Vicenza
2683,2683,,Vicenza
2685,2685,,Padova
2689,2689,,Vicenza
2691,2691,,Padova
2697,2697,,Vicenza
2703,2703,,Vicenza
2708,2708,,Padova
2713,2713,,Vicenza
2714,2714,,Padova
2717,2717,,Padova
2723,2723,,Vicenza
2727,2727,,Vicenza
2731,2731,,Vicenza
2732,2732,,Padova
2738,2738,,Padova
2741,2741,,Padova
2742,2742,,Vicenza
2743,2743,,Padova
2745,2745,,Padova
2746,2746,,Padova
2747,2747,,Padova
2748,2748,,Padova
2749,2749,,Padova
2753,2753,,Vicenza
2754,2754,,Padova
2758,2758,,Vicenza
2760,2760,,Vicenza
2765,2765,,Padova
2769,2769,,Padova
2770,2770,,Padova
2771,2771,,Padova
2773,2773,,Padova
2774,2774,,Vicenza
2781,2781,,Vicenza
2785,2785,,Vicenza
2786,2786,,Padova
2790,2790,,Vicenza
2792,2792,,Vicenza
2796,2796,,Padova
2799,2799,,Vicenza
2802,2802,,Vicenza
2804,2804,,Padova
2810,2810,,Padova
2815,2815,,Padova
2820,2820,,Padova
2821,2821,,Padova
2824,2824,,Vicenza
2831,2831,,Vicenza
2832,2832,,Vicenza
2835,2835,,Vicenza
2836,2836,,Vicenza
2841,2841,,Vicenza
2842,2842,,Vicenza
2848,2848,,Padova
2851,2851,,Padova
2852,2852,,Padova
2854,2854,,Vicenza
2862,2862,,Vicenza
2869,2869,,Vicenza
2871,2871,,Vicenza
2878,2878,,Vicenza
2879,2879,,Vicenza
2880,2880,,Vicenza
2881,2881,,Padova
2885,2885,,Vicenza
2886,2886,,Padova
2887,2887,,Vicenza
2888,2888,,Padova
2891,2891,,Padova
2892,2892,,Vicenza
2894,2894,,Padova
2898,2898,,Padova
2899,2899,,Vicenza
2900,2900,,Vicenza
2903,2903,,Padova
2907,2907,,Vicenza
2915,2915,,Padova
2920,2920,,Vicenza
2922,2922,,Vicenza
2926,2926,,Vicenza
2930,2930,,Vicenza
2931,2931,,Padova
2932,2932,,Vicenza
2933,2933,,Padova
2934,2934,,Padova
2935,2935,,Vicenza
2937,2937,,Vicenza
2940,2940,,Vicenza
2947,2947,,Padova
2960,2960,,Padova
2961,2961,,Vicenza
2964,2964,,Padova
2965,2965,,Vicenza
2966,2966,,Vicenza
2974,2974,,Vicenza
2980,2980,,Padova
2981,2981,,Padova
2998,2998,,Vicenza
2999,2999,,Vicenza
3000,3000,,Padova
3007,3007,,Padova
3017,3017,,Vicenza
3018,3018,,Padova
3020,3020,,Padova
3022,3022,,Vicenza
3025,3025,,Vicenza
3030,3030,,Padova
3033,3033,,Vicenza
3040,3040,,Vicenza
3041,3041,,Vicenza
3044,3044,,Padova
3046,3046,,Padova
3047,3047,,Padova
3050,3050,,Padova
3059,3059,,Padova
3061,3061,,Padova
3067,3067,,Padova
3068,3068,,Padova
3070,3070,,Padova
3072,3072,,Padova
3076,3076,,Padova
3077,3077,,Vicenza
3078,3078,,Vicenza
3087,3087,,Vicenza
3090,3090,,Padova
3093,3093,,Vicenza
3096,3096,,Padova
3099,3099,,Vicenza
3100,3100,,Padova
3104,3104,,Vicenza
3115,3115,,Vicenza
3116,3116,,Padova
3120,3120,,Padova
3127,3127,,Padova
3129,3129,,Padova
3131,3131,,Padova
3135,3135,,Padova
3137,3137,,Padova
3138,3138,,Padova
3142,3142,,Padova
3144,3144,,Vicenza
